Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: E:\LANL\SF7.EXE
SF.INI file: E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\SF.INI  8-04-2020  11:52:20
Solution file E:\nakai\LANL-PoissonSuperfish\Examples\Electrostatic\CoaxCylinder\COAXTEST.T35.
Memory used for COAXTEST.T35 arrays:     146.068 K
Obtaining filename or plot type and data from SF7 pop-up menu.

Electric fields for a rectangular area with corners at:
(Rmin,Zmin) = (0.0,0.0)
(Rmax,Zmax) = (5,5)
R and Z increments:   100   100

      R             Z              Er            Ez            |E|           V 
    (cm)          (cm)           (V/cm)        (V/cm)        (V/cm)         (V)  
   3.95000       0.00000      2.873988E+02  0.000000E+00  2.873988E+02  2.502699E+02
   4.00000       0.00000      2.824599E+02  0.000000E+00  2.824599E+02  2.360232E+02
   4.05000       0.00000      2.775504E+02  0.000000E+00  2.775504E+02  2.220230E+02
   4.10000       0.00000      2.726586E+02  0.000000E+00  2.726586E+02  2.082675E+02
   4.15000       0.00000      2.678071E+02  0.000000E+00  2.678071E+02  1.947560E+02
   4.20000       0.00000      2.629847E+02  0.000000E+00  2.629847E+02  1.814861E+02
   4.25000       0.00000      2.582114E+02  0.000000E+00  2.582114E+02  1.684563E+02
   4.30000       0.00000      2.534761E+02  0.000000E+00  2.534761E+02  1.556640E+02
   4.35000       0.00000      2.487967E+02  0.000000E+00  2.487967E+02  1.431074E+02
   4.40000       0.00000      2.441616E+02  0.000000E+00  2.441616E+02  1.307832E+02
   4.45000       0.00000      2.395877E+02  0.000000E+00  2.395877E+02  1.186897E+02
   4.50000       0.00000      2.350615E+02  0.000000E+00  2.350615E+02  1.068233E+02
   4.55000       0.00000      2.306007E+02  0.000000E+00  2.306007E+02  9.518198E+01
   4.60000       0.00000      2.261895E+02  0.000000E+00  2.261895E+02  8.376214E+01
   4.65000       0.00000      2.218459E+02  0.000000E+00  2.218459E+02  7.256150E+01
   4.70000       0.00000      2.175727E+02  0.000000E+00  2.175727E+02  6.157483E+01
   4.75000       0.00000      2.133564E+02  0.000000E+00  2.133564E+02  5.080186E+01
   4.80000       0.00000      2.092116E+02  0.000000E+00  2.092116E+02  4.023698E+01
   4.85000       0.00000      2.051235E+02  0.000000E+00  2.051235E+02  2.987886E+01
   4.90000       0.00000      2.011015E+02  0.000000E+00  2.011015E+02  1.972380E+01
